"ID","Brand","Product","Category","Image URL","Public Reference Price GBP inc VAT","Observed Availability","Observed Source","Source URL","Checked Date","Actual Trade Cost ex VAT GBP","Actual MCQ Sell Price inc VAT GBP","MCQ Sellable","Trade Cost Status","Notes"
"mkt-hd280pro","Sennheiser","HD 280 Pro","headphones","https://mitechdirect.com/cdn/shop/files/Sennheiser-HD-280-PRO-Studio-Monitoring-Headphones.jpg?v=1767681619&width=1200","77","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/sennheiser_hd_280_pro_new.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-dt770pro80","beyerdynamic","DT 770 Pro 80 Ohm","headphones","https://prosound.ixbt.com/hardsoft/beyerdynamic/dt770/0b.jpg","129","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/BEYERDYNAMIC_DT770_pro80_ohm.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-athm40x","Audio-Technica","ATH-M40X","headphones","https://www.audio-wave.com/cdn/shop/files/7b5d516e-1f801e_dd5d0568f00847f2a8dd1ead63ebb7a7_mv2.png?v=1766844151&width=1946","95","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/audio_technica_ath_m40_x.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-beta58a","Shure","Beta 58A","microphones","https://www.jpmusical.com/cdn/shop/products/BETA_58-SHURE-1024x1024_1_8a7414c2-4afa-4d85-b362-be050c17329f.jpg?v=1590187997","159","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/shure_beta_58_a.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment. Image evidence: https://www.jpmusical.com/products/microfono-shure-beta58a"
"mkt-sm7b","Shure","SM7B","microphones","https://d2dfnis7z3ac76.cloudfront.net/shure_product_db/product_images/files/e05/77f/cc-/header_transparent/d8a05cd2b4d977f58caf81dc553dbfb4.png","344","CURRENT_LISTING_VERIFY_STOCK","Thomann UK","https://www.thomann.co.uk/shure_microphones.html","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment. Image evidence: https://www.shure.com/en-GB/products/microphones/sm7b?variant=SM7B"
"mkt-rode-nt1-5-black","Rode","NT1 5th Generation Black","microphones","https://www.swingcitymusic.com/wp-content/uploads/2024/06/NT1-5th-Generation-Condensor-Microphone.png","166","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/rode_nt1_5th_generation_black.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-e945","Sennheiser","e945","microphones","https://cs-a.ecimg.tw/items/QBAW1NA9009441H/000007_1773137520.jpg","148","CURRENT_LISTING_VERIFY_STOCK","Thomann UK","https://www.thomann.co.uk/sennheiser_e945_gesangsmikrofon.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-krk-rp5-g5","KRK","Rokit RP5 G5","studio","https://www.energyson.fr/193606/rokit-rp5-g5.jpg","138","CURRENT_LISTING_HIGH_AVAILABILITY","Thomann UK","https://www.thomann.co.uk/krk_rokit_rp5_g5.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-yamaha-hs8","Yamaha","HS8","studio","https://images.tcdn.com.br/img/img_prod/1148871/monitor_de_referencia_yamaha_hs8_para_estudio_120w_rms_preto_601_1_2f25415456746a8dccca689bdf3079ae.jpg","249","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/yamaha_hs_8.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-focusrite-2i2-4g","Focusrite","Scarlett 2i2 4th Gen","audio-interfaces","https://images.tcdn.com.br/img/img_prod/928221/scarlett_2i2_4th_interface_de_audio_2_canais_focusrite_1951_1_96a0bc6ed2125324904767e703a9a701.jpg","166","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/focusrite_scarlett_2i2_4th_generation.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment. Image evidence: https://www.sunsetmusicshop.com.br/home-studio/interface-de-audio/scarlett-2i2-4th-interface-de-audio-2-canais-focusrite"
"mkt-ua-volt2","Universal Audio","Volt 2","audio-interfaces","https://static.univers-sons.com/img/library/zoom/79/US/79340_1.jpg","129","CURRENT_LISTING_VERIFY_PRICE_STOCK","Thomann UK","https://www.thomann.co.uk/universal_audio_volt_2.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-qsc-k12-2","QSC","K12.2","pa","https://vmt.in/cdn/shop/products/k12.2_1200x1200.jpg?v=1624859619","869","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/qsc_k_12.2.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-ev-zlx12p-g2","Electro-Voice","ZLX-12P-G2","pa","https://www.elektroniksatis.com/shop/at/10/myassets/products/324/electro-voice-zlx12p-gii-3image.jpg?revision=1725276469","459","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/ev_zlx_12p_g2.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-jbl-prx912","JBL","PRX912","pa","https://cdn11.bigcommerce.com/s-31108/images/stencil/1280x1280/products/3885/26915/JBL_PRX912_A__49947.1672251754.jpg?c=2","839","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/jbl_prx912.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-bose-s1-pro-plus","Bose","S1 Pro Plus","pa","https://bettercomponents.com.ph/cdn/shop/files/3_ef5a31f4-9575-44be-b7e9-8ffbbb51fedf.png?v=1756439153","585","CURRENT_LISTING_VERIFY_STOCK","Thomann UK","https://www.thomann.co.uk/bose.html","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-ortofon-club-twin","Ortofon","Concorde Club MKII Twin","dj-cartridges","https://static.bax-shop.es/image/product/455710/1501568/3d49ada8/1533634683TWINCLUB03.jpg","259","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/ortofon_concorde_club_mkii_twin.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-at-lp140xp","Audio-Technica","AT-LP140XP Black","turntables","https://f.fcdn.app/imgs/144b42/www.palaciodelamusica.com.uy/pmusuy/b5f8/original/catalogo/ATLP140-ATLP140_1/1920-1200/bandeja-de-vinilo-audio-technica-atlp140xp-negro-bandeja-de-vinilo-audio-technica-atlp140xp-negro.jpg","393","EXPECTED_STOCK_8_10_WEEKS_AT_SCAN","Thomann UK","https://www.thomann.co.uk/audio_technica_at_lp140xp_black.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-shure-mv7-plus","Shure","MV7 Plus","microphones","https://content.abt.com/image.php/53a3dbee513968d6d742b801a311aa1c?canvas=&ck=2&height=1500&image=%2Fimages%2Fproducts%2FBDP_Images%2Fshure-microphone-MV7PLUS-K-front-right.jpg&width=1500","266","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/shure_mv7_plus.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment. Image evidence: https://www.abt.com/Shure-MV7-Plus-Black-Podcasting-Microphone-MV7PLUSK/p/151875.html"
"mkt-rode-wireless-pro","Rode","Wireless PRO","wireless-microphones","https://www.syntex.cz/media/produkty/28231/rode-wireless-pro-hero-three-quarter-4000x4000-rgb-2000x2000-064a3d6.png","199","CURRENT_LISTING_VERIFY_STOCK","Thomann UK","https://www.thomann.co.uk/rode.html","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-jbl-eon-one-compact","JBL","EON ONE Compact","pa","https://www.pasolutions.gr/images/thumbs/0575520.jpeg","469","CURRENT_LISTING_VERIFY_STOCK","Thomann UK","https://www.thomann.co.uk/jbl.html","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-krk-rp7-g5","KRK","Rokit RP7 G5","studio","https://qlxltd.2dimg.com/1/preview-18_2643024747.jpg","169","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/krk_rokit_rp7_g5.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment. Image evidence: https://www.getinthemix.com/krk-rokit-rp7-g5.htm"
"mkt-adam-t7v","ADAM Audio","T7V","studio","https://cs-a.ecimg.tw/items/DMAFHQA900GSLFG/000001_1698836943.jpg","209","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/adam_t7v.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-genelec-8010ap","Genelec","8010 AP","studio","https://www.musicland.co.jp/shop/item/musiclandkey/picture/goods/50076_thumbnail.jpg","259","CURRENT_LISTING_VERIFY_PRICE_STOCK","Thomann UK","https://www.thomann.co.uk/genelec.html","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment. Image evidence: https://www.musicland.co.jp/fs/musiclandkey/gnlc-8010ap-pair"
"mkt-kali-lp6-2w","Kali Audio","LP-6 2nd Wave","studio","https://www.jpstore.se/PICTURE/11671-82-kali-audio-lp-6-v2_0x6k5.jpg","179","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/kali_audio_lp_6_2nd_wave.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment. Image evidence: https://www.jpstore.se/kali-audio/lp-6-v2"
"mkt-at2020","Audio-Technica","AT2020","microphones","https://d1aeri3ty3izns.cloudfront.net/media/36/369723/1200/preview.jpg","79","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/audio_technica_at2020.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-shure-blx24-sm58-s8","Shure","BLX24/SM58 S8","wireless-microphones","https://products.shureweb.eu/cdn-cgi/image/width%3D1380%2Cheight%3D1380%2Cformat%3Dauto/shure_product_db/product_images/files/14f/cc2/ef-/original/8c6eef6bda08ea0ab5062c6ae77424fc.webp","325","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/shure_blx24sm58_s8.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-ortofon-dj-twin","Ortofon","Concorde DJ MKII Twin","dj-cartridges","https://static.univers-sons.com/img/library/zoom/60/US/60302_1.jpg","189","IN_STOCK_AT_SCAN","Thomann UK","https://www.thomann.co.uk/ortofon_concorde_dj_mkii_twin.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-g4m-hercules-starlight","Hercules","DJControl Starlight","dj","https://hoangbaokhoa.com/uploads/picture/news/10092022113007_starlight_top.jpg","60.2","2_IN_STOCK_AT_SCAN","Gear4music","https://www.gear4music.com/dj-equipment/dj-controllers","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment. Image evidence: https://hoangbaokhoa.com/en/djcontrol-starlight-hercules-b48040.php"
"mkt-g4m-hercules-control-mix","Hercules","DJControl Mix","dj","https://dyproaudio.co.uk/cdn/shop/products/hercules-djcontrol-mix-dj-controller-for-smart-phone-or-tablet-dy-pro-audio-1.jpg?v=1759245741","75.4","10_IN_STOCK_AT_SCAN","Gear4music","https://www.gear4music.com/dj-equipment/dj-controllers","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment. Image evidence: https://dyproaudio.co.uk/products/hercules-djcontrol-mix-dj-controller-for-smart-phone-or-tablet"
"mkt-g4m-mixtrack-go","Numark","MixTrack Go","dj","https://cdn-image.bonedo.de/wp-media-folder-bonedo/2026/07/05_Numark_Mixtrack_Go.jpg","79","20_PLUS_IN_STOCK_AT_SCAN","Gear4music","https://www.gear4music.com/dj-equipment/dj-controllers","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment. Image evidence: https://www.bonedo.de/artikel/testmarathon-aktive-klein-pa-systeme/"
"mkt-g4m-party-mix-ii","Numark","Party Mix II","dj","https://cdn.sanity.io/images/5skqgt41/production/b743f2ae83cdbecb5cd77f6f49dbf3568d7a3b66-1000x1000.jpg?auto=format","88","4_IN_STOCK_AT_SCAN","Gear4music","https://www.gear4music.com/dj-equipment/dj-controllers","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-g4m-inpulse-200-mk3","Hercules","DJControl Inpulse 200 MK3","dj","https://media.musicarts.com/is/image/MMGS7/M28110000000000-00-2000x2000.jpg","89.99","4_IN_STOCK_AT_SCAN","Gear4music","https://www.gear4music.com/dj-equipment/dj-controllers","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-g4m-party-mix-live","Numark","Party Mix Live","dj","https://www.altomusic.com/cdn/shop/files/partymixlive_ortho_hires.jpg?v=1692041999","115.25","3_IN_STOCK_AT_SCAN","Gear4music","https://www.gear4music.com/dj-equipment/dj-controllers","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-g4m-party-mix-iii","Numark","Party Mix III","dj","https://media.sweetwater.com/m/products/image/97386ddcd1bTxS0dZGO2GQOiFdFt1Xe5Q76jtQ7C.jpg?ha=97386ddcd152b17c8ae19b3e107495d9b887f950&height=1800&quality=85","118","20_PLUS_IN_STOCK_AT_SCAN","Gear4music","https://www.gear4music.com/dj-equipment/dj-controllers","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment. Image evidence: https://www.sweetwater.com/store/detail/PartyMix3--numark-party-mix-iii-dj-controller"
"mkt-g4m-control-mix-ultra","Hercules","DJControl Mix Ultra","dj","https://dam.elcorteingles.es/producto/www-001028648300581-00.jpg","149.99","13_IN_STOCK_AT_SCAN","Gear4music","https://www.gear4music.com/dj-equipment/dj-controllers","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment. Image evidence: https://www.elcorteingles.es/electronica/A55112097-controladora-dj-hercules-djcontrol-mix-ultra-portatil/"
"mkt-g4m-ddj-flx2","AlphaTheta","DDJ-FLX2","dj","https://media.musicarts.com/is/image/MMGS7/M16278000000001-00-2000x2000.jpg","159","1_IN_STOCK_AT_SCAN","Gear4music","https://www.gear4music.com/dj-equipment/dj-controllers","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
